Index,EMP_ID,CLM_SYS,CLM_REF,WSA_TYP,FLEXBEN_TYPE,CLM_DT,CLM_YR,CLM_AMT,RCPT_DT,RCPT_DAY,DAY_TAG,CLM.STAT,REIMB_DT,REIMB_YR,EA_DT,RISK
40,8476,WSA,EFSA0087297,BIRT,,15/11/16,2016,11.8,15/10/16,Saturday,WEEKEND,3,8/1/17,2017,21/9/17,1
41,4960,WSA,EFSA0087336,FLXI,3.0,17/11/16,2016,488.0,15/10/16,Saturday,WEEKEND,3,10/1/17,2017,21/9/17,1
42,5680,WSA,EFSA0087408,FLXI,4.0,20/11/16,2016,498.0,15/10/16,Saturday,WEEKEND,3,18/1/17,2017,21/9/17,1
43,9964,WSA,EFSA0087166,BIRT,,5/11/16,2016,30.0,16/10/16,Sunday,WEEKEND,3,1/1/17,2017,21/9/17,0
44,10290,WSA,EFSA0087214,FLXI,3.0,10/11/16,2016,219.0,16/10/16,Sunday,WEEKEND,3,4/1/17,2017,21/9/17,0
45,10635,WSA,EFSA0087220,BIRT,,10/11/16,2016,6.0,16/10/16,Sunday,WEEKEND,3,6/1/17,2017,21/9/17,0
46,5403,WSA,EFSA0087409,FLXI,2.0,20/11/16,2016,499.0,16/10/16,Sunday,WEEKEND,3,16/1/17,2017,21/9/17,1
47,3592,WSA,EFSA0087507,FLXI,2.0,23/11/16,2016,475.0,16/10/16,Sunday,WEEKEND,3,20/1/17,2017,21/9/17,1
48,1977,WSA,EFSA0087186,BIRT,,7/11/16,2016,30.0,17/10/16,Monday,WEEKDAY,3,2/1/17,2017,21/9/17,0
49,10486,WSA,EFSA0087295,BIRT,,15/11/16,2016,30.0,17/10/16,Monday,WEEKDAY,3,9/1/17,2017,21/9/17,0
50,8482,WSA,EFSA0087273,FLXI,3.0,14/11/16,2016,500.0,17/10/16,Monday,WEEKDAY,3,10/1/17,2017,21/9/17,0
51,9495,WSA,EFSA0087197,BIRT,,8/11/16,2016,30.0,18/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
52,7556,WSA,EFSA0087248,FLXI,3.0,12/11/16,2016,34.9,18/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
53,10512,WSA,EFSA0087177,BIRT,,6/11/16,2016,30.0,18/10/16,Tuesday,WEEKDAY,3,4/1/17,2017,21/9/17,0
54,2380,WSA,EFSA0087245,MIIS,,12/11/16,2016,100.0,18/10/16,Tuesday,WEEKDAY,3,10/1/17,2017,21/9/17,0
55,10338,WSA,EFSA0087277,FLXI,3.0,14/11/16,2016,174.0,18/10/16,Tuesday,WEEKDAY,3,10/1/17,2017,21/9/17,0
56,10663,WSA,EFSA0087232,BIRT,,11/11/16,2016,30.0,19/10/16,Wednesday,WEEKDAY,3,4/1/17,2017,21/9/17,0
57,3345,WSA,EFSA0087183,FLXI,7.0,7/11/16,2016,243.38,19/10/16,Wednesday,WEEKDAY,3,5/1/17,2017,21/9/17,0
58,2111,WSA,EFSA0087259,FLXI,7.0,13/11/16,2016,147.0,19/10/16,Wednesday,WEEKDAY,3,5/1/17,2017,21/9/17,0
59,9790,WSA,EFSA0087332,BIRT,,17/11/16,2016,30.0,19/10/16,Wednesday,WEEKDAY,3,8/1/17,2017,21/9/17,0
60,7097,WSA,EFSA0087353,FLXI,1.0,18/11/16,2016,39.51,19/10/16,Wednesday,WEEKDAY,3,8/1/17,2017,21/9/17,0
61,9437,WSA,EFSA0087173,MIIS,,6/11/16,2016,100.0,20/10/16,Thursday,WEEKDAY,3,1/1/17,2017,21/9/17,0
62,11750,WSA,EFSA0087672,FLXI,8.0,28/11/16,2016,469.0,20/10/16,Thursday,WEEKDAY,3,1/1/17,2017,21/9/17,0
63,9786,WSA,EFSA0087630,FLXI,3.0,27/11/16,2016,497.0,20/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,0
64,7939,WSA,EFSA0087633,FLXI,1.0,27/11/16,2016,477.0,20/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,0
65,4648,WSA,EFSA0087305,FLXI,4.0,16/11/16,2016,500.0,20/10/16,Thursday,WEEKDAY,3,3/1/17,2017,21/9/17,0
66,7872,WSA,EFSA0087179,MIIS,,6/11/16,2016,4.42,20/10/16,Thursday,WEEKDAY,3,5/1/17,2017,21/9/17,0
67,5512,WSA,EFSA0087323,FLXI,7.0,17/11/16,2016,500.0,20/10/16,Thursday,WEEKDAY,3,5/1/17,2017,21/9/17,0
68,8170,WSA,EFSA0087276,FLXI,5.0,14/11/16,2016,500.0,20/10/16,Thursday,WEEKDAY,3,6/1/17,2017,21/9/17,0
69,2925,WSA,EFSA0087670,FLXI,1.0,28/11/16,2016,453.0,20/10/16,Thursday,WEEKDAY,3,6/1/17,2017,21/9/17,1
70,8934,WSA,EFSA0087291,FLXI,3.0,15/11/16,2016,40.0,20/10/16,Thursday,WEEKDAY,3,9/1/17,2017,21/9/17,1
71,2976,WSA,EFSA0087671,FLXI,1.0,28/11/16,2016,470.0,20/10/16,Thursday,WEEKDAY,3,9/1/17,2017,21/9/17,1
72,8805,WSA,EFSA0087290,FLXI,3.0,15/11/16,2016,299.9,20/10/16,Thursday,WEEKDAY,3,11/1/17,2017,21/9/17,1
73,8011,WSA,EFSA0087405,BIRT,,20/11/16,2016,30.0,20/10/16,Thursday,WEEKDAY,3,15/1/17,2017,21/9/17,1
74,9299,WSA,EFSA0087348,MIIS,,18/11/16,2016,100.0,20/10/16,Thursday,WEEKDAY,3,16/1/17,2017,21/9/17,1
75,5785,WSA,EFSA0087629,FLXI,2.0,27/11/16,2016,451.0,20/10/16,Thursday,WEEKDAY,3,20/1/17,2017,21/9/17,1
76,6106,WSA,EFSA0087196,BIRT,,8/11/16,2016,30.0,21/10/16,Friday,WEEKDAY,3,2/1/17,2017,21/9/17,0
77,5671,WSA,EFSA0087185,BIRT,,7/11/16,2016,30.0,21/10/16,Friday,WEEKDAY,3,4/1/17,2017,21/9/17,0
78,7278,WSA,EFSA0087266,BIRT,,13/11/16,2016,30.0,21/10/16,Friday,WEEKDAY,3,4/1/17,2017,21/9/17,0
79,6371,WSA,EFSA0087442,BIRT,,21/11/16,2016,17.4,21/10/16,Friday,WEEKDAY,3,4/1/17,2017,21/9/17,0
80,7580,WSA,EFSA0087299,BIRT,,15/11/16,2016,9.0,21/10/16,Friday,WEEKDAY,3,11/1/17,2017,21/9/17,0
81,9292,WSA,EFSA0087280,MIIS,,14/11/16,2016,100.0,21/10/16,Friday,WEEKDAY,3,12/1/17,2017,21/9/17,0
82,10369,WSA,EFSA0087701,FLXI,6.0,29/11/16,2016,499.0,21/10/16,Friday,WEEKDAY,3,14/1/17,2017,21/9/17,0
83,3940,WSA,EFSA0087339,FLXI,4.0,18/11/16,2016,500.0,21/10/16,Friday,WEEKDAY,3,16/1/17,2017,21/9/17,1
84,5533,WSA,EFSA0087419,FLXI,3.0,21/11/16,2016,256.8,21/10/16,Friday,WEEKDAY,3,16/1/17,2017,21/9/17,1
85,9375,WSA,EFSA0087378,BIRT,,19/11/16,2016,20.8,21/10/16,Friday,WEEKDAY,3,17/1/17,2017,21/9/17,1
86,10394,WSA,EFSA0087751,FLXI,5.0,30/11/16,2016,482.0,21/10/16,Friday,WEEKDAY,3,28/1/17,2017,21/9/17,1
87,5408,WSA,EFSA0087452,FLXI,7.0,22/11/16,2016,500.0,22/10/16,Saturday,WEEKEND,3,2/1/17,2017,21/9/17,0
88,9901,WSA,EFSA0087282,FLXI,3.0,14/11/16,2016,79.0,22/10/16,Saturday,WEEKEND,3,3/1/17,2017,21/9/17,0
89,5692,WSA,EFSA0087334,BIRT,,17/11/16,2016,4.5,22/10/16,Saturday,WEEKEND,3,3/1/17,2017,21/9/17,0
90,9279,WSA,EFSA0087228,FLXI,7.0,11/11/16,2016,53.98,22/10/16,Saturday,WEEKEND,3,4/1/17,2017,21/9/17,0
91,6217,WSA,EFSA0087374,FLXI,7.0,19/11/16,2016,71.12,22/10/16,Saturday,WEEKEND,3,7/1/17,2017,21/9/17,0
92,4592,WSA,EFSA0087219,MIIS,,10/11/16,2016,10.0,22/10/16,Saturday,WEEKEND,3,8/1/17,2017,21/9/17,0
93,4578,WSA,EFSA0087537,FLXI,2.0,24/11/16,2016,484.0,22/10/16,Saturday,WEEKEND,3,8/1/17,2017,21/9/17,0
94,2148,WSA,EFSA0087631,FLXI,3.0,27/11/16,2016,485.0,22/10/16,Saturday,WEEKEND,3,10/1/17,2017,21/9/17,0
95,5850,WSA,EFSA0087425,FLXI,1.0,21/11/16,2016,100.0,22/10/16,Saturday,WEEKEND,3,11/1/17,2017,21/9/17,0
96,3272,WSA,EFSA0087791,FLXI,1.0,1/12/16,2016,488.0,22/10/16,Saturday,WEEKEND,3,12/1/17,2017,21/9/17,1
97,11483,WSA,EFSA0087538,FLXI,6.0,24/11/16,2016,459.0,22/10/16,Saturday,WEEKEND,3,14/1/17,2017,21/9/17,1
98,6889,WSA,EFSA0087388,FLXI,6.0,20/11/16,2016,500.0,22/10/16,Saturday,WEEKEND,3,15/1/17,2017,21/9/17,1
99,10220,WSA,EFSA0087394,FLXI,6.0,20/11/16,2016,144.0,22/10/16,Saturday,WEEKEND,3,15/1/17,2017,21/9/17,1
100,6091,WSA,EFSA0087596,FLXI,6.0,26/11/16,2016,499.0,22/10/16,Saturday,WEEKEND,3,16/1/17,2017,21/9/17,1
101,5078,WSA,EFSA0087417,FLXI,7.0,21/11/16,2016,397.0,22/10/16,Saturday,WEEKEND,3,19/1/17,2017,21/9/17,1
102,3040,WSA,EFSA0087478,BIRT,,22/11/16,2016,3.5,22/10/16,Saturday,WEEKEND,3,20/1/17,2017,21/9/17,1
103,2416,WSA,EFSA0087699,FLXI,8.0,29/11/16,2016,497.0,22/10/16,Saturday,WEEKEND,3,22/1/17,2017,21/9/17,1
104,4710,WSA,EFSA0087793,FLXI,7.0,1/12/16,2016,454.0,22/10/16,Saturday,WEEKEND,3,23/1/17,2017,21/9/17,1
105,8081,WSA,EFSA0087632,FLXI,6.0,27/11/16,2016,471.0,22/10/16,Saturday,WEEKEND,3,24/1/17,2017,21/9/17,1
106,11249,WSA,EFSA0087243,MIIS,,12/11/16,2016,100.0,23/10/16,Sunday,WEEKEND,3,2/1/17,2017,21/9/17,0
107,2814,WSA,EFSA0087597,FLXI,4.0,26/11/16,2016,494.0,23/10/16,Sunday,WEEKEND,3,2/1/17,2017,21/9/17,0
108,3800,WSA,EFSA0087189,FLXI,4.0,8/11/16,2016,500.0,23/10/16,Sunday,WEEKEND,3,4/1/17,2017,21/9/17,0
109,9209,WSA,EFSA0087306,FLXI,5.0,16/11/16,2016,500.0,23/10/16,Sunday,WEEKEND,3,4/1/17,2017,21/9/17,0
110,2907,WSA,EFSA0087224,FLXI,1.0,11/11/16,2016,500.0,23/10/16,Sunday,WEEKEND,3,7/1/17,2017,21/9/17,0
111,5167,WSA,EFSA0087496,MIIS,,23/11/16,2016,100.0,23/10/16,Sunday,WEEKEND,3,7/1/17,2017,21/9/17,0
112,5811,WSA,EFSA0087268,BIRT,,13/11/16,2016,18.3,23/10/16,Sunday,WEEKEND,3,10/1/17,2017,21/9/17,1
113,9947,WSA,EFSA0087294,BIRT,,15/11/16,2016,30.0,23/10/16,Sunday,WEEKEND,3,11/1/17,2017,21/9/17,1
114,7036,WSA,EFSA0087750,FLXI,2.0,30/11/16,2016,461.0,23/10/16,Sunday,WEEKEND,3,21/1/17,2017,21/9/17,1
115,4823,WSA,EFSA0087794,FLXI,4.0,1/12/16,2016,499.0,23/10/16,Sunday,WEEKEND,3,30/1/17,2017,21/9/17,1
116,1623,WSA,EFSA0087157,FLXI,3.0,2/11/16,2016,140.0,24/10/16,Monday,WEEKDAY,3,1/1/17,2017,21/9/17,0
117,5211,WSA,EFSA0087174,MIIS,,6/11/16,2016,100.0,24/10/16,Monday,WEEKDAY,3,2/1/17,2017,21/9/17,0
118,6707,WSA,EFSA0087203,FLXI,5.0,9/11/16,2016,25.0,24/10/16,Monday,WEEKDAY,3,5/1/17,2017,21/9/17,0
119,6519,WSA,EFSA0087431,MIIS,,21/11/16,2016,100.0,24/10/16,Monday,WEEKDAY,3,8/1/17,2017,21/9/17,0
120,4412,WSA,EFSA0087387,FLXI,4.0,20/11/16,2016,500.0,24/10/16,Monday,WEEKDAY,3,13/1/17,2017,21/9/17,0
121,4494,WSA,EFSA0087474,BIRT,,22/11/16,2016,17.9,24/10/16,Monday,WEEKDAY,3,18/1/17,2017,21/9/17,0
122,11200,WSA,EFSA0087828,FLXI,6.0,2/12/16,2016,459.0,24/10/16,Monday,WEEKDAY,3,18/1/17,2017,21/9/17,0
123,2342,WSA,EFSA0087493,MIIS,,23/11/16,2016,100.0,24/10/16,Monday,WEEKDAY,3,22/1/17,2017,21/9/17,1
124,10825,WSA,EFSA0087749,FLXI,4.0,30/11/16,2016,452.0,24/10/16,Monday,WEEKDAY,3,24/1/17,2017,21/9/17,1
125,10316,WSA,EFSA0087851,FLXI,3.0,3/12/16,2016,460.0,24/10/16,Monday,WEEKDAY,3,29/1/17,2017,21/9/17,1
126,6172,WSA,EFSA0087159,BIRT,,3/11/16,2016,30.0,25/10/16,Tuesday,WEEKDAY,3,1/1/17,2017,21/9/17,0
127,7759,WSA,EFSA0087204,BIRT,,9/11/16,2016,24.0,25/10/16,Tuesday,WEEKDAY,3,1/1/17,2017,21/9/17,0
128,2241,WSA,EFSA0087158,MIIS,,3/11/16,2016,100.0,25/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
129,9402,WSA,EFSA0087279,MIIS,,14/11/16,2016,100.0,25/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
130,3465,WSA,EFSA0087313,BIRT,,16/11/16,2016,30.0,25/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
131,1479,WSA,EFSA0087366,FLXI,4.0,19/11/16,2016,500.0,25/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
132,5831,WSA,EFSA0087215,FLXI,7.0,10/11/16,2016,85.3,25/10/16,Tuesday,WEEKDAY,3,3/1/17,2017,21/9/17,0
133,4318,WSA,EFSA0087506,BIRT,,23/11/16,2016,3.6,25/10/16,Tuesday,WEEKDAY,3,4/1/17,2017,21/9/17,0
134,6795,WSA,EFSA0087190,FLXI,4.0,8/11/16,2016,500.0,25/10/16,Tuesday,WEEKDAY,3,5/1/17,2017,21/9/17,0
135,9702,WSA,EFSA0087300,BIRT,,15/11/16,2016,6.0,25/10/16,Tuesday,WEEKDAY,3,7/1/17,2017,21/9/17,0
136,8580,WSA,EFSA0087296,BIRT,,15/11/16,2016,19.6,25/10/16,Tuesday,WEEKDAY,3,9/1/17,2017,21/9/17,0
137,11265,WSA,EFSA0087565,BIRT,,25/11/16,2016,30.0,25/10/16,Tuesday,WEEKDAY,3,11/1/17,2017,21/9/17,0
138,5401,WSA,EFSA0087356,BIRT,,18/11/16,2016,30.0,25/10/16,Tuesday,WEEKDAY,3,12/1/17,2017,21/9/17,0
139,5234,WSA,EFSA0087466,FLXI,4.0,22/11/16,2016,71.2,25/10/16,Tuesday,WEEKDAY,3,12/1/17,2017,21/9/17,0
140,5558,WSA,EFSA0087358,BIRT,,18/11/16,2016,11.1,25/10/16,Tuesday,WEEKDAY,3,13/1/17,2017,21/9/17,0
141,9180,WSA,EFSA0087436,FLXI,2.0,21/11/16,2016,74.9,25/10/16,Tuesday,WEEKDAY,3,15/1/17,2017,21/9/17,0
142,7994,WSA,EFSA0087525,MIIS,,24/11/16,2016,100.0,25/10/16,Tuesday,WEEKDAY,3,22/1/17,2017,21/9/17,1
143,7150,WSA,EFSA0087906,FLXI,1.0,4/12/16,2016,494.0,25/10/16,Tuesday,WEEKDAY,3,22/1/17,2017,21/9/17,1
144,1810,WSA,EFSA0087329,MIIS,,17/11/16,2016,100.0,26/10/16,Wednesday,WEEKDAY,3,1/1/17,2017,21/9/17,0
145,9198,WSA,EFSA0087480,FLXI,4.0,23/11/16,2016,500.0,26/10/16,Wednesday,WEEKDAY,3,1/1/17,2017,21/9/17,0
146,8018,WSA,EFSA0087400,MIIS,,20/11/16,2016,100.0,26/10/16,Wednesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
147,5045,WSA,EFSA0087206,FLXI,3.0,9/11/16,2016,13.8,26/10/16,Wednesday,WEEKDAY,3,5/1/17,2017,21/9/17,0
148,6280,WSA,EFSA0087254,BIRT,,12/11/16,2016,2.6,26/10/16,Wednesday,WEEKDAY,3,5/1/17,2017,21/9/17,0
149,3957,WSA,EFSA0087253,BIRT,,12/11/16,2016,3.6,26/10/16,Wednesday,WEEKDAY,3,6/1/17,2017,21/9/17,0
150,10224,WSA,EFSA0087564,BIRT,,25/11/16,2016,30.0,26/10/16,Wednesday,WEEKDAY,3,8/1/17,2017,21/9/17,0
151,3371,WSA,EFSA0087269,MIIS,,13/11/16,2016,13.79,26/10/16,Wednesday,WEEKDAY,3,9/1/17,2017,21/9/17,0
152,3055,WSA,EFSA0087281,FLXI,3.0,14/11/16,2016,99.03,26/10/16,Wednesday,WEEKDAY,3,10/1/17,2017,21/9/17,0
153,3449,WSA,EFSA0087556,MIIS,,25/11/16,2016,100.0,26/10/16,Wednesday,WEEKDAY,3,14/1/17,2017,21/9/17,0
154,3031,WSA,EFSA0087390,FLXI,5.0,20/11/16,2016,378.0,26/10/16,Wednesday,WEEKDAY,3,15/1/17,2017,21/9/17,0
155,9012,WSA,EFSA0087498,MIIS,,23/11/16,2016,100.0,26/10/16,Wednesday,WEEKDAY,3,16/1/17,2017,21/9/17,0
156,7129,WSA,EFSA0087546,FLXI,7.0,25/11/16,2016,164.0,26/10/16,Wednesday,WEEKDAY,3,21/1/17,2017,21/9/17,0
157,10131,WSA,EFSA0087552,MIIS,,25/11/16,2016,100.0,26/10/16,Wednesday,WEEKDAY,3,23/1/17,2017,21/9/17,0
158,11031,WSA,EFSA0087171,MIIS,,6/11/16,2016,100.0,27/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,0
159,1638,WSA,EFSA0087372,MIIS,,19/11/16,2016,100.0,27/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,0
160,10676,WSA,EFSA0087402,MIIS,,20/11/16,2016,66.0,27/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,0
161,3489,WSA,EFSA0087234,BIRT,,11/11/16,2016,23.6,27/10/16,Thursday,WEEKDAY,3,4/1/17,2017,21/9/17,0
162,8452,WSA,EFSA0087365,FLXI,1.0,19/11/16,2016,500.0,27/10/16,Thursday,WEEKDAY,3,5/1/17,2017,21/9/17,0
163,10278,WSA,EFSA0087239,FLXI,4.0,12/11/16,2016,433.0,27/10/16,Thursday,WEEKDAY,3,7/1/17,2017,21/9/17,0
164,6405,WSA,EFSA0087249,BIRT,,12/11/16,2016,30.0,27/10/16,Thursday,WEEKDAY,3,9/1/17,2017,21/9/17,0
165,10153,WSA,EFSA0087515,FLXI,7.0,24/11/16,2016,199.0,27/10/16,Thursday,WEEKDAY,3,9/1/17,2017,21/9/17,0
166,10440,WSA,EFSA0087401,FLXI,3.0,20/11/16,2016,91.0,27/10/16,Thursday,WEEKDAY,3,11/1/17,2017,21/9/17,0
167,6401,WSA,EFSA0087314,BIRT,,16/11/16,2016,30.0,27/10/16,Thursday,WEEKDAY,3,14/1/17,2017,21/9/17,0
168,6151,WSA,EFSA0087328,MIIS,,17/11/16,2016,100.0,27/10/16,Thursday,WEEKDAY,3,15/1/17,2017,21/9/17,0
169,8612,WSA,EFSA0087827,FLXI,1.0,2/12/16,2016,495.0,27/10/16,Thursday,WEEKDAY,3,16/1/17,2017,21/9/17,0
170,8819,WSA,EFSA0087588,BIRT,,26/11/16,2016,30.0,27/10/16,Thursday,WEEKDAY,3,23/1/17,2017,21/9/17,1
171,3908,WSA,EFSA0087467,FLXI,1.0,22/11/16,2016,60.0,28/10/16,Friday,WEEKDAY,3,1/1/17,2017,21/9/17,0
172,9640,WSA,EFSA0087221,BIRT,,10/11/16,2016,3.2,28/10/16,Friday,WEEKDAY,3,2/1/17,2017,21/9/17,0
173,10232,WSA,EFSA0087430,MIIS,,21/11/16,2016,100.0,28/10/16,Friday,WEEKDAY,3,3/1/17,2017,21/9/17,0
174,2794,WSA,EFSA0087182,FLXI,7.0,7/11/16,2016,500.0,28/10/16,Friday,WEEKDAY,3,4/1/17,2017,21/9/17,0
175,9564,WSA,EFSA0087492,FLXI,3.0,23/11/16,2016,100.0,28/10/16,Friday,WEEKDAY,3,4/1/17,2017,21/9/17,0
176,9532,WSA,EFSA0087482,FLXI,4.0,23/11/16,2016,500.0,28/10/16,Friday,WEEKDAY,3,5/1/17,2017,21/9/17,0
177,7348,WSA,EFSA0087557,FLXI,2.0,25/11/16,2016,92.99,28/10/16,Friday,WEEKDAY,3,5/1/17,2017,21/9/17,0
178,9545,WSA,EFSA0087240,FLXI,1.0,12/11/16,2016,159.0,28/10/16,Friday,WEEKDAY,3,6/1/17,2017,21/9/17,0
179,9443,WSA,EFSA0087308,FLXI,5.0,16/11/16,2016,440.0,28/10/16,Friday,WEEKDAY,3,7/1/17,2017,21/9/17,0
180,4742,WSA,EFSA0087235,BIRT,,11/11/16,2016,8.5,28/10/16,Friday,WEEKDAY,3,9/1/17,2017,21/9/17,0
